MARKERNAME	CAD_BETA	CAD_SE	CAD_MAF	MIG_BETA	MIG_SE	MIG_MAF
1:37399338	-0.0192	0.0137	0.1687	-0.00323	0.010785	0.129032
1:37399339	-0.018	0.0138	0.1701	-0.002761	0.010782	0.132584
1:37399974	-0.0093	0.0097	0.1202	-0.005446	0.011094	0.116274
1:37401365	-0.0337	0.0343	0.0114	-0.011679	0.036522	0.022041
1:37401846	-0.0039	0.0097	0.1341	0.026398	0.015304	0.120046
1:37401951	-0.0234	0.0123	0.0848	0.004464	0.017155	0.086145
1:37402001	0.0067	0.0067	0.3308	0.006277	0.007326	0.349407
1:37402184	0.0061	0.0086	0.17149999999999999	-0.001663	0.010237	0.157664
1:37402240	-0.0133	0.0213	0.02510000000000001	0.032828	0.03374	0.02395
1:37402540	0.0064	0.0097	0.13	-0.027461	0.015633	0.113952
1:37403014	-0.0044	0.0085	0.1775	0.005609	0.009624	0.169425
1:37403375	-0.0425	0.0517	0.0075	-0.137326	0.220117	0.011943
1:37403412	-0.0057	0.0066	0.3418	-0.008348	0.007374	0.336873
1:37403567	0.006	0.0066	0.3436	0.007975	0.007433	0.337192
1:37403900	-0.0043	0.0191	0.0319	0.010153	0.024305	0.040257
1:37403958	-0.0001	0.0096	0.1461	-0.011236	0.012765	0.155823
1:37404918	0.0311	0.0288	0.014000000000000012	0.015426	0.046624	0.012634
1:37405471	-0.0045	0.0154	0.16810000000000003	0.016069	0.015387	0.173027
1:37405472	-0.0049	0.0154	0.16779999999999995	0.016064	0.015367	0.173041
1:37405604	-0.0154	0.0372	0.0135	0.056664	0.07829	0.01353
1:37406424	0.0022	0.0085	0.19079999999999997	-0.009373	0.011294	0.178979
1:37407162	-0.0016	0.0085	0.1877	0.013341	0.011512	0.17897
1:37407180	0.0012	0.0086	0.1774	0.011545	0.01132	0.168429
1:37407403	0.0007	0.0085	0.18430000000000002	-0.010513	0.011237	0.177808
1:37407573	-0.0086	0.0071	0.2934	0.002225	0.008051	0.289403
1:37407762	-0.0004	0.0085	0.1845	0.010444	0.011217	0.177854
1:37407770	-0.0006	0.0165	0.0392	0.019262	0.019696	0.036734
1:37407933	0.0059	0.0076	0.25	-0.00747	0.009352	0.23173
1:37408081	0.0001	0.0084	0.1868	0.010231	0.011185	0.178691
1:37408114	-0.0001	0.0083	0.19430000000000003	-0.009535	0.011061	0.18295
1:37408278	0	0.0083	0.19389999999999996	-0.009708	0.011076	0.182081
1:37409036	0.0071	0.0245	0.0199	-0.039837	0.026419	0.026452
1:37409665	-0.0001	0.0069	0.3092	0.004563	0.00767	0.311266
1:37409996	-0.0149	0.0137	0.0521	0.011219	0.016805	0.045364
1:37410069	-0.0805	0.0465	0.0083	0.125854	0.110846	0.018209
1:37410906	-0.0024	0.0067	0.352	-0.000676	0.007668	0.35953
1:37411387	0.0182	0.0351	0.0108	-0.005182	0.064814	0.020604
1:37411578	-0.0033	0.0072	0.27559999999999996	-0.001553	0.007954	0.287447
1:37411832	-0.0189	0.0135	0.0539	0.010553	0.016526	0.046407
1:37411844	-0.0032	0.0105	0.1213	-0.000556	0.013857	0.126067
1:37411893	-0.0153	0.0128	0.0667	0.008129	0.016274	0.051956
1:37412276	-0.0177	0.0134	0.0545	0.00976	0.016357	0.046872
1:37412340	-0.0152	0.0425	0.0075	0.032241	0.105198	0.020033
1:37412587	0.0017	0.0192	0.0289	0.019667	0.022606	0.029455
1:37412798	-0.0414	0.0243	0.020499999999999963	-0.032223	0.092801	0.015548
1:37412925	0.0609	0.0354	0.01	-0.136653	0.08531	0.013583000000000012
1:37412945	0.013	0.0276	0.0179	-0.034526	0.077677	0.016336
1:37413171	-0.0151	0.0136	0.0523	0.0115	0.016768	0.045507
1:37414805	0.0027	0.0099	0.13270000000000004	0.006151	0.012438	0.144107
1:37415368	0.0098	0.057	0.010000000000000009	-0.036304	0.105135	0.020166
1:37415392	0.0042	0.0066	0.42069999999999996	-0.004626	0.007508	0.422362
1:37415673	0.0161	0.0129	0.05820000000000003	-0.012785	0.015775	0.05055
1:37416269	0.0135	0.0128	0.05900000000000005	-0.011979	0.015592	0.050395
1:37416881	-0.0006	0.0164	0.0392	0.019701	0.019724	0.034964
1:37417161	0.0017	0.0071	0.3028	0.004471	0.007639	0.304097
1:37417404	-0.0087	0.0141	0.0517	0.012581	0.017103	0.045287
1:37419029	0.0218	0.0232	0.02529999999999999	-0.011035	0.095863	0.032032
1:37419231	-0.0049	0.0281	0.01629999999999998	0.078084	0.072636	0.021575
1:37419638	0.0596	0.041	0.0101	-0.169633	0.13996	0.011555
1:37419841	-0.0024	0.0068	0.3348	-0.000213	0.007475	0.334097
1:37419857	0.011	0.0069	0.3744	0.008464	0.01791	0.346125
1:37419953	0.0105	0.0226	0.0239	-0.047956	0.051274	0.029019
1:37420035	-0.0174	0.0244	0.0206	-0.027191	0.088841	0.016973
1:37420132	-0.0069	0.0068	0.4931	-0.023035	0.017583	0.490476
1:37420486	-0.0187	0.0161	0.049	-0.011912	0.040704	0.039375
1:37420696	-0.0107	0.0076	0.2849	0.006856	0.010596	0.298201
1:37420811	-0.0045	0.0182	0.035800000000000054	0.059642	0.062748	0.039444
1:37420916	0.0133	0.018	0.0379	0.01822	0.024716	0.046583
1:37420934	-0.0078	0.0183	0.0423	0.034251	0.033644	0.07641699999999996
1:37421333	0.0054	0.0181	0.0353	-0.064322	0.062809	0.03872
1:37421351	-0.0297	0.0229	0.0226	-0.018711	0.066725	0.022577
1:37421470	0.0035	0.0182	0.0356	-0.061075	0.062677	0.039405
1:37421690	0.0065	0.0081	0.2284	-0.015296	0.020286	0.232074
1:37421844	-0.0321	0.0232	0.0224	-0.018643	0.066799	0.022506
1:37421958	0.0003	0.0066	0.46509999999999996	-0.008544	0.010019	0.446075
1:37422200	-0.0056	0.0066	0.4374	-0.008388	0.01029	0.417593
1:37422216	-0.0121	0.0113	0.4415	-0.020749	0.012681	0.43713
1:37422323	-0.0089	0.018	0.03739999999999999	0.063475	0.062584	0.041504
1:37422928	-0.0125	0.0113	0.4458	0.008514	0.010279	0.41624000000000005
1:37423435	0.0127	0.0118	0.43320000000000003	0.015996	0.018061	0.377313
1:37423452	0.006	0.0203	0.1492	-0.032314	0.082844	0.13015
1:37423470	0.0231	0.0302	0.0689	0.15141	0.106922	0.065406
1:37423475	-0.0323	0.0264	0.08479999999999999	0.26175	0.166352	0.061026
1:37423506	0.0297	0.0345	0.047	0.061998	0.080158	0.052752
1:37423517	-0.0067	0.0312	0.0559	0.012425	0.054126	0.054214
1:37423772	0.066	0.0402	0.025399999999999978	0.01759	0.078848	0.019266
1:37423818	0.0062	0.0342	0.0337	-0.062394	0.054715	0.038628
1:37423824	0.0028	0.0338	0.0351	-0.047004	0.05135	0.038639
1:37424136	-0.03	0.021	0.0321	-0.030645	0.055195	0.034712
1:37424199	0.0066	0.0067	0.4382	0.008487	0.010317	0.41713999999999996
1:37424362	0.0298	0.0281	0.0663	0.007786	0.042387	0.077572
1:37424502	0.0037	0.0121	0.4514	0.032446	0.017467	0.499737
1:37424597	-0.069	0.0377	0.0268	-0.006245	0.060586	0.020343
1:37424638	-0.0032	0.0125	0.3965	-0.005871	0.020214	0.381741
1:37424641	-0.0059	0.013	0.3573	-0.022829	0.021154	0.333713
1:37424667	-0.0116	0.0071	0.4311	0.032152	0.017452	0.490314
1:37424872	-0.0045	0.0351	0.03520000000000001	0.060595	0.046542	0.045531
1:37424935	-0.0061	0.0121	0.4407	-0.034388	0.017427	0.491978
1:37425219	0.0114	0.0071	0.4837	-0.022069	0.017606	0.472783
1:37425437	-0.0017	0.0122	0.4806	-0.040506	0.017336	0.460147
1:37425695	-0.0451	0.0327	0.012	0.001011	0.049224	0.033936
1:37425875	0.0057	0.007	0.3341	-0.007782	0.017388	0.295718
1:37426338	0.0159	0.0221	0.02310000000000001	-0.010888	0.059999	0.019877
1:37426393	-0.0122	0.0072	0.3067	0.008383	0.010089	0.320308
1:37426412	0.0054	0.0184	0.0353	-0.067311	0.050324	0.037767
1:37426574	0.0161	0.022	0.02310000000000001	-0.010706	0.059974	0.019816
1:37427000	-0.0013	0.0136	0.39390000000000003	-0.000903	0.020636	0.375309
1:37427139	0.0015	0.0072	0.3136	-0.010649	0.018388	0.278484
1:37427263	0.0019	0.0137	0.058	-0.011188	0.017343	0.059519
1:37427336	0.0127	0.0156	0.047	0.033632	0.043352	0.041053
1:37427453	0.0378	0.0258	0.0186	-0.042851	0.073673	0.022238
1:37427636	0.0012	0.0245	0.0648	-0.032767	0.024476	0.06823
1:37427852	-0.0134	0.0283	0.015100000000000002	-0.069571	0.072421	0.0166
1:37428012	-0.0096	0.0113	0.08420000000000005	-0.021081	0.013262	0.083506
1:37428032	-0.0092	0.0113	0.08409999999999995	0.021191	0.013258	0.083325
1:37428108	-0.0184	0.0385	0.0089	-0.034382	0.115026	0.012025999999999981
1:37428227	0.0101	0.0112	0.0841	-0.021676	0.013101	0.082219
1:37428412	0.0089	0.0112	0.0842	-0.022006	0.012991	0.082763
1:37428418	0.065	0.0424	0.0101	0.128938	0.119351	0.012758
1:37428511	-0.0243	0.0338	0.0272	0.049829	0.026983	0.024041
1:37428578	0.0171	0.0337	0.0102	0.053078	0.112697	0.019217
1:37428612	-0.0101	0.0112	0.08489999999999998	0.022368	0.012827	0.083039
1:37428858	0.0096	0.0112	0.0844	-0.022123	0.012812	0.082916
1:37428875	0.009	0.0112	0.0842	-0.022074	0.012803	0.082795
1:37429305	0.0794	0.1235	0.0011999999999999789	-0.0447	0.148221	0.013363000000000014
1:37429643	-0.0102	0.0112	0.08479999999999999	-0.022235	0.012671	0.083084
1:37429671	-0.0101	0.0112	0.08479999999999999	0.02213	0.012659	0.083084
1:37429733	-0.0472	0.0487	0.007099999999999995	0.200362	0.187407	0.012556
1:37429791	0.0307	0.0294	0.0128	-0.039787	0.034997	0.01587
1:37430266	0.0092	0.0112	0.0843	-0.021747	0.012581	0.082911
1:37430331	0.0023	0.0081	0.1813	0.002704	0.009231	0.172878
1:37430363	-0.0097	0.0111	0.08450000000000002	0.021515	0.012576	0.082941
1:37430668	0.0134	0.0336	0.0102	0.053026	0.112641	0.019195
1:37430738	-0.0089	0.0112	0.08420000000000005	0.021952	0.012579	0.082931
1:37430810	-0.0051	0.0069	0.281	0.00666	0.007781	0.271431
1:37430839	-0.009	0.0107	0.0937	0.021748	0.01205	0.091892
1:37430910	0.0084	0.0112	0.084	-0.021975	0.012586	0.08292
1:37431382	0.0083	0.011	0.0893	-0.020804	0.012429	0.084569
1:37431392	-0.0081	0.011	0.08899999999999997	0.020735	0.012436	0.084506
1:37431574	-0.0079	0.0335	0.010299999999999976	-0.052811	0.112522	0.019213
1:37431643	0.0122	0.0252	0.0207	0.017174	0.06297	0.028753
1:37431758	-0.0085	0.011	0.08889999999999998	0.020849	0.012443	0.084506
1:37432180	0.0033	0.008	0.1802	0.005235	0.009058	0.175851
1:37432302	0	0.0314	0.013000000000000012	-0.010439	0.042582	0.011131
1:37432463	-0.001	0.008	0.1834	-0.004981	0.009115	0.176528
1:37432936	0.0056	0.0298	0.01539999999999997	0.00642	0.04209	0.011625
1:37433623	0.0097	0.0112	0.086	-0.020835	0.012485	0.084274
1:37434003	0.0092	0.0308	0.0136	0.019063	0.040876	0.011845
1:37435147	-0.0053	0.0069	0.2832	0.004379	0.007712	0.270909
1:37435475	-0.0052	0.0069	0.2815	0.004174	0.007715	0.270399
1:37436711	-0.0122	0.0105	0.09750000000000003	0.021069	0.011859	0.094611
1:37436880	0.0355	0.026	0.0189	-0.018239	0.066044	0.017491000000000034
1:37437046	0.0104	0.0106	0.0957	-0.021117	0.011942	0.09288
1:37437175	-0.001	0.008	0.1856	0.006571	0.00904	0.175796
1:37437180	0.0092	0.0225	0.023900000000000032	-0.00019	0.0313	0.021574
1:37437224	-0.0006	0.0079	0.1949	0.005645	0.008869	0.184574
1:37437453	0.001	0.008	0.1856	-0.006591	0.009042	0.175815
1:37437463	-0.001	0.008	0.1856	0.006607	0.009043	0.175819
1:37437776	-0.0051	0.007	0.3102	0.004982	0.007497	0.31793
1:37438380	-0.0047	0.0069	0.2814	0.004494	0.007739	0.270128
1:37438570	-0.0049	0.0069	0.2814	0.004592	0.007741	0.270234
1:37439077	-0.0011	0.008	0.1856	0.006503	0.009059	0.175754
1:37439254	-0.007	0.0217	0.02410000000000001	-0.026215	0.024222	0.03577
1:37439256	0.0097	0.0112	0.0858	-0.021718	0.012525	0.083793
1:37440041	0.0011	0.008	0.18579999999999997	-0.006458	0.009075	0.175811
1:37440261	-0.0005	0.0081	0.184	0.00914	0.009255	0.171766
1:37440451	0.0005	0.008	0.18620000000000003	-0.006198	0.009078	0.175899
1:37440469	0.0005	0.008	0.18620000000000003	-0.006191	0.009077	0.175899
1:37440577	0.0006	0.008	0.18630000000000002	-0.00613	0.00909	0.175905
1:37440915	0.0234	0.0265	0.0467	-0.012751	0.020933	0.04852
1:37441073	0.0128	0.0215	0.023700000000000054	-0.0059	0.029814	0.026533
1:37441317	-0.0004	0.0081	0.1787	0.00496	0.009242	0.17173
1:37441742	0.0006	0.0081	0.17869999999999997	-0.004944	0.009244	0.171725
1:37441894	0.0097	0.0115	0.0788	-0.024374	0.012837	0.080806
1:37442175	0.0056	0.0336	0.0104	0.053438	0.112814	0.019039
1:37442988	-0.0116	0.0105	0.0968	0.020533	0.011903	0.093675
1:37443220	-0.038	0.0314	0.0135	0.000993	0.065936	0.018126
1:37443355	0.0176	0.0171	0.0855	-0.032479	0.015526	0.082561
1:37443356	0.0177	0.0171	0.0856	-0.031928	0.015522	0.082581
1:37443357	0.0184	0.0168	0.0882	-0.030021	0.015288	0.083979
1:37443888	-0.0123	0.0105	0.09709999999999996	0.020971	0.011889	0.093874
1:37443953	-0.0124	0.0105	0.09719999999999995	0.021021	0.011888	0.093885
1:37444216	0.0125	0.0105	0.0971	-0.02097	0.011889	0.093827
1:37444397	-0.0591	0.0935	0.0021	-0.132985	0.110997	0.015782
1:37444497	0.0483	0.0488	0.007	-0.214793	0.187556	0.012513
1:37444665	-0.0126	0.0105	0.09709999999999996	0.021003	0.011889	0.093763
1:37444887	0.0116	0.0105	0.0967	-0.020764	0.011909	0.093816
1:37445195	-0.0121	0.0105	0.09699999999999998	0.020899	0.011905	0.093768
1:37445263	-0.0121	0.0105	0.09699999999999998	0.020855	0.01191	0.093772
1:37445485	-0.0122	0.0105	0.09709999999999996	0.020877	0.011913	0.093761
1:37445740	-0.0115	0.0105	0.09719999999999995	0.020894	0.011917	0.093746
1:37446582	-0.0252	0.0156	0.09830000000000005	-0.02979	0.013895	0.094706
1:37446751	0.073	0.0401	0.0078	0.0585	0.151036	0.01404799999999995
1:37446799	0.0098	0.0115	0.0778	-0.024864	0.012886	0.080673
1:37447307	-0.0119	0.0105	0.09689999999999999	0.021019	0.011962	0.0935
1:37447410	-0.0094	0.0528	0.0061	0.074428	0.30875	0.010073
1:37447638	-0.0245	0.02	0.0331	-0.006617	0.059014	0.024481
1:37447748	-0.0054	0.0116	0.0954	0.018333	0.016342	0.102798
1:37447894	-0.0116	0.0104	0.11760000000000004	0.026017	0.011657	0.140203
1:37447952	0.0091	0.0107	0.0937	-0.021985	0.012083	0.091838
1:37448148	-0.0342	0.0417	0.0111	-0.134126	0.10406	0.013958
1:37448384	0.0563	0.0278	0.0149	0.030773	0.032037	0.017224
1:37448587	-0.0083	0.0113	0.08360000000000001	-0.022652	0.012782	0.082524
1:37448914	-0.0008	0.0337	0.010299999999999976	-0.041607	0.113662	0.018848
1:37448952	-0.0045	0.0339	0.010199999999999987	0.047511	0.113805	0.018769
1:37449685	0.0117	0.0093	0.1311	-0.008143	0.010959	0.134724
1:37449737	0.0069	0.0102	0.1119	-0.003671	0.011572	0.108919
1:37450505	0.0058	0.0066	0.40190000000000003	0.003578	0.007758	0.420295
1:37450698	-0.0208	0.0225	0.022700000000000053	-0.002521	0.034819	0.023224
1:37451517	-0.024	0.0736	0.0034	0.004616	0.130149	0.014232
1:37454674	-0.001	0.0082	0.175	0.001303	0.009205	0.175522
1:37454810	-0.0079	0.0292	0.01539999999999997	0.005305	0.068573	0.012644
1:37455276	-0.0134	0.0284	0.0149	-0.010419	0.065598	0.018139
1:37455302	-0.0112	0.0337	0.010099999999999998	-0.027157	0.094511	0.01581699999999997
1:37455479	-0.0131	0.0294	0.014800000000000035	0.004592	0.068915	0.012546
1:37455815	-0.0107	0.0338	0.010000000000000009	-0.029368	0.094552	0.015789000000000053
1:37455908	0.0049	0.0339	0.0099	0.032543	0.114395	0.018698
1:37456220	-0.0002	0.0079	0.20350000000000001	-0.001378	0.008814	0.193714
1:37456573	-0.0049	0.0312	0.0122	-0.036482	0.036413	0.015007
1:37456779	-0.0027	0.0081	0.1839	0.001038	0.009083	0.181317
1:37457302	-0.0247	0.0267	0.0176	0.051133	0.071753	0.013362
1:37457531	-0.0032	0.0083	0.1721	0.003042	0.009351	0.170403
1:37458865	-0.0032	0.0073	0.24850000000000005	0.01139	0.00824	0.250615
1:37458879	0.0074	0.0065	0.3681	-0.004455	0.007328	0.36204
1:37459467	-0.0128	0.0336	0.010099999999999998	-0.024189	0.094647	0.01571900000000004
1:37459595	-0.118	0.0528	0.005900000000000016	-0.100979	0.129135	0.021047
1:37459856	-0.0137	0.074	0.0098	-0.09553	0.137334	0.012329
1:37459933	-0.0114	0.0336	0.010099999999999998	-0.024099	0.094657	0.015712999999999977
1:37459950	0.0081	0.0065	0.3681	-0.004368	0.007318	0.362036
1:37460139	-0.005	0.0894	0.0022999999999999687	0.037379	0.145488	0.013843
1:37460317	0.0062	0.0102	0.1033	0.011988	0.011935	0.098092
1:37460353	0.0068	0.0065	0.3531	-0.004556	0.007402	0.350002
1:37460651	0.0119	0.0336	0.0101	0.023922	0.094674	0.01570499999999997
1:37461644	-0.0052	0.0066	0.348	0.005033	0.007415	0.348781
1:37462097	-0.0319	0.0612	0.0051	-0.043205	0.135681	0.01641
1:37462568	-0.0746	0.0222	0.025599999999999956	-0.169331	0.053942	0.023063
1:37462737	-0.0359	0.0527	0.0067	0.188769	0.153234	0.010260999999999965
1:37463211	-0.0046	0.0342	0.0117	-0.061368	0.043844	0.013756
1:37463763	0.0613	0.0372	0.0125	0.02917	0.090632	0.017145
1:37464014	0.0089	0.0337	0.0101	0.02253	0.094736	0.015666999999999986
1:37464215	-0.0083	0.034	0.00990000000000002	0.030605	0.114763	0.018539
1:37464267	-0.0079	0.0338	0.010099999999999998	-0.022142	0.09474	0.01566400000000001
1:37464516	0.0605	0.0365	0.0131	0.066502	0.086205	0.02024
1:37464609	-0.0053	0.0183	0.1153	0.014745	0.01923	0.113295
1:37464644	0.008	0.0232	0.0219	-0.029347	0.024089	0.028451
1:37464915	0.0319	0.0188	0.0316	0.031268	0.025582	0.026196
1:37465631	0.1098	0.0538	0.0052	-0.48102	0.33797	0.010624
1:37466234	-0.0107	0.034	0.00990000000000002	-0.029937	0.11481	0.018506
1:37466713	0.0094	0.0336	0.0101	0.019311	0.094753	0.015654999999999974
1:37467080	-0.0079	0.0336	0.010099999999999998	-0.018895	0.094757	0.01565099999999997
1:37467325	-0.0054	0.0065	0.3507	-0.00475	0.007387	0.351979
1:37467486	-0.0086	0.0128	0.2012	-0.003234	0.010629	0.218054
1:37467487	-0.0061	0.0119	0.225	-0.006546	0.009776	0.242208
1:37467622	0.0003	0.0359	0.010399999999999965	0.08778	0.099786	0.015252000000000043
1:37468274	-0.0007	0.0154	0.10650000000000004	0.008603	0.014099	0.096452
1:37468275	-0.0012	0.0157	0.10370000000000001	-0.017208	0.012248	0.094129
1:37468517	-0.0244	0.0992	0.0021	-0.2631	0.208905	0.011213000000000028
1:37469026	0.0009	0.0153	0.1076	0.009597	0.013878	0.09765
1:37469193	-0.0325	0.0283	0.016000000000000014	-0.006857	0.039346	0.011313
1:37471025	-0.0125	0.0303	0.013800000000000034	-0.010009	0.060275	0.012045
1:37471098	-0.0118	0.0303	0.013800000000000034	-0.010059	0.060333	0.012045
1:37471217	0.0096	0.0305	0.0136	0.008057	0.060541	0.012
1:37471609	0.008	0.0064	0.3691	-0.005354	0.007307	0.362402
1:37471617	0.0072	0.0065	0.3545	-0.005336	0.007393	0.351477
1:37471833	-0.0206	0.0217	0.0239	0.032994	0.027112	0.022546
1:37472270	0.0078	0.01	0.1056	0.01229	0.01175	0.098942
1:37472959	-0.0016	0.0107	0.0992	-0.006962	0.011781	0.112001
1:37473314	-0.0348	0.0184	0.0393	0.015808	0.039103	0.051876
1:37473463	0.0038	0.0072	0.2518	-0.011726	0.008062	0.255114
1:37473482	-0.0042	0.0071	0.25870000000000004	0.011638	0.007964	0.263647
1:37473815	0.0088	0.0099	0.1088	0.013286	0.011685	0.099468
1:37473855	0.0054	0.0073	0.2434	-0.011028	0.008121	0.249563
1:37473994	0.0035	0.0072	0.252	-0.01153	0.008043	0.255474
1:37474384	-0.0102	0.0336	0.010099999999999998	-0.015653	0.094597	0.015564000000000022
1:37474428	-0.0082	0.0064	0.37029999999999996	0.003951	0.007306	0.366114
1:37474726	-0.0084	0.0064	0.3712	0.004331	0.007252	0.365972
1:37475061	-0.008	0.0064	0.3681	0.005393	0.007258	0.363174
1:37475081	0.0111	0.0098	0.1126	0.014216	0.011483	0.101342
1:37475788	0.011	0.0097	0.1137	0.011635	0.011425	0.105496
1:37476077	-0.0081	0.0064	0.3681	0.005479	0.007251	0.363319
1:37476161	-0.0054	0.0073	0.24109999999999998	0.01267	0.008109	0.247438
1:37476250	0.0046	0.0072	0.2482	-0.013157	0.008038	0.252859
1:37476328	0.0219	0.0248	0.0718	-0.057208	0.03664	0.075402
1:37476412	0.0063	0.0147	0.115	0.013906	0.011587	0.100287
1:37476503	0.0056	0.0147	0.1125	0.013357	0.011625	0.099498
1:37476711	-0.0055	0.0332	0.010499999999999954	-0.025559	0.093876	0.015661999999999954
1:37477242	0.0108	0.0097	0.1126	0.013744	0.011433	0.101394
1:37477380	-0.0088	0.0064	0.3677	0.005459	0.007233	0.363587
1:37477979	-0.0097	0.0335	0.010199999999999987	-0.013485	0.094374	0.015557000000000043
1:37478063	0.0048	0.0072	0.2493	-0.012929	0.008014	0.255303
1:37478278	0.0093	0.0098	0.1089	0.013091	0.011592	0.099599
1:37478703	0.0042	0.0072	0.2461	-0.012582	0.008052	0.250651
1:37478768	-0.0082	0.01	0.10370000000000001	-0.013366	0.011683	0.098281
1:37478785	0.0036	0.0063	0.3617	-0.015475	0.007175	0.366315
1:37479392	-0.0076	0.0064	0.364	0.005918	0.007224	0.359685
1:37479621	0.0101	0.0335	0.0102	0.012913	0.094352	0.015553999999999957
1:37479786	-0.0412	0.0299	0.0195	-0.086509	0.105147	0.010668
1:37480144	0.0031	0.0064	0.3513	-0.018118	0.007347	0.355977
1:37480440	-0.0042	0.0113	0.3299	-0.014836	0.010576	0.322836
1:37481463	-0.0196	0.0217	0.0239	0.03295	0.027023	0.022581
1:37482347	0.0457	0.0294	0.020299999999999985	0.209504	0.15115	0.012514000000000025
1:37482721	0.0136	0.023	0.0219	0.018354	0.033541	0.021599
1:37482849	0.0031	0.0063	0.3606	-0.017618	0.007166	0.364689
1:37482900	0.0091	0.01	0.1048	0.013582	0.011655	0.098684
1:37482955	-0.0076	0.0061	0.47509999999999997	0.011824	0.006908	0.46779099999999996
1:37483005	-0.041	0.0743	0.006299999999999972	-0.036975	0.2687	0.010800000000000032
1:37483054	-0.0026	0.0064	0.35140000000000005	-0.017526	0.007193	0.356198
1:37483391	0.0098	0.0097	0.1112	0.013347	0.011388	0.100557
1:37483446	0.0041	0.0218	0.022800000000000042	-0.02431	0.027779	0.020852
1:37484052	-0.0072	0.0061	0.47209999999999996	0.011396	0.006885	0.46604999999999996
1:37484237	-0.0072	0.0061	0.47209999999999996	0.011423	0.006886	0.46603399999999995
1:37484242	0.0087	0.01	0.1037	0.013719	0.011657	0.098217
1:37484521	-0.0088	0.0336	0.010099999999999998	-0.012908	0.094333	0.015549999999999953
1:37484734	-0.0255	0.0141	0.05349999999999999	-0.00896	0.017484	0.047857
1:37485205	-0.0167	0.0139	0.0644	0.003777	0.033609	0.072091
1:37485209	0.0376	0.0741	0.0063	0.056253	0.2513	0.011600000000000055
1:37485224	0.0254	0.014	0.0537	0.008943	0.017484	0.047856
1:37485788	-0.0065	0.0061	0.47019999999999995	0.011449	0.006887	0.46527799999999997
1:37486360	0.0001	0.0096	0.3468	-0.013907	0.008469	0.347388
1:37486574	-0.0111	0.0094	0.12209999999999999	-0.012829	0.010963	0.109781
1:37486654	-0.0105	0.0094	0.12270000000000003	-0.01284	0.010963	0.109781
1:37487269	0.0098	0.0094	0.1206	0.012473	0.010999	0.109109
1:37487468	0.0015	0.0421	0.0103	-0.2378	0.181807	0.012661000000000033
1:37487911	0.0163	0.0229	0.0207	-0.018775	0.032865	0.02144
1:37488317	0.011	0.0094	0.1221	0.012764	0.010964	0.1098
1:37488337	0.0073	0.0061	0.4721	-0.01133	0.006885	0.46606099999999995
1:37488798	-0.0091	0.0188	0.03190000000000004	0.004288	0.023949	0.035297
1:37489146	-0.0017	0.0306	0.0118	0.058183	0.034576	0.012794
1:37489221	-0.0109	0.0094	0.12209999999999999	-0.01277	0.010965	0.109783
1:37489380	-0.0025	0.0064	0.35119999999999996	0.016974	0.00706	0.356123
1:37489690	-0.0083	0.014	0.12619999999999998	0.010517	0.012792	0.110529
